Task,Task time,Index diff time,Start Time,End Time
s08_JOY_A0_1,8.148,8.148,1543533637484,1543533645632
s08_JOY_A0_2,21.174,21.168,1543533651787,1543533672961
s08_JOY_A0_3,18.901,18.900000000000002,1543533674801,1543533693702
s08_JOY_A0_4,38.615,38.608000000000004,1543533707501,1543533746116
s08_JOY_A0_5,34.116,34.112,1543533773153,1543533807269
s08_JOY_A0_6,16.17,16.168,1543533832629,1543533848799
s08_SNP_A0_2,26.081,26.084,1544556357610,1544556383691
s08_SNP_A0_3,15.862,15.864,1544556408357,1544556424219
s08_SNP_A0_4,102.169,102.176,1544556457384,1544556559553
s08_SNP_A0_5,156.048,156.06,1544556610795,1544556766843
s08_SNP_A0_6,29.484,29.484,1544556835733,1544556865217
s08_SNP_A0_7,17.217,17.216,1544556875738,1544556892955
s08_SNP_A0_1,20.037,20.04,1544556912872,1544556932909
u00_HA_A0_2,12.607,12.608,1543878109700,1543878122307
u00_HA_A0_3,12.496,12.496,1543878149492,1543878161988
u00_HA_A0_4,21.459,21.46,1543878209742,1543878231201
u00_HA_A0_5,243.279,243.304,1543878261082,1543878504361
u00_HA_A0_6,12.766,12.768,1543878540638,1543878553404
u00_HA_A0_7,24.048,24.052,1543878557233,1543878581281
u00_HA_A0_1,7.796,7.796,1543878625027,1543878632823
u00_JOY_A0_3,30.951,30.928,1539641822944,1539641853895
u00_JOY_A0_4,20.417,20.404,1539641864586,1539641885003
u00_JOY_A0_5,35.239,35.216,1539641916382,1539641951621
u00_JOY_A0_6,13.373,13.364,1539641968991,1539641982364
u00_JOY_A0_7,12.119,12.108,1539641986717,1539641998836
u00_JOY_A0_1,10.175,10.168000000000001,1539642012119,1539642022294
u00_JOY_A0_2,13.191,13.184000000000001,1539642025734,1539642038925
u01_HA_A0_2,13.093,13.06,1540855788285,1540855801378
u01_HA_A0_3,11.365,11.336,1540855807453,1540855818818
u01_HA_A0_4,50.289,50.156,1540855839834,1540855890123
u01_HA_A0_5,34.087,33.996,1540855915466,1540855949553
u01_HA_A0_6,16.883,16.84,1540855974165,1540855991048
u01_HA_A0_7,19.92,19.868000000000002,1540855994866,1540856014786
u01_HA_A0_1,13.84,13.804,1540856032321,1540856046161
u01_JOY_A0_6,14.271,14.268,1541722648514,1541722662785
