id,interface,mental_rs,mental_ws,physical_rs,physical_ws,temporal_rs,temporal_ws,performance_rs,performance_ws,effort_rs,effort_ws,frustration_rs,frustration_ws,Raw Score,Weighted Score
S05,headarray,,4,,3,,1,,2,,3,,2,0,0
S05,headarray,,4,,2,,1,,3,,3,,2,0,0
S07,sip_and_puff,39,3,48,1,,0,,3,55,5,34,3,29.33333333,36.13333333
S08,joystick,4,5,,0,12,2,36,2,21,2,52,4,20.83333333,24.4
S08,joystick,14,4,,0,,4,,3,21,2,11,2,7.666666667,8
S08,joystick,31,5,,0,,1,20,2,13,4,11,3,12.5,18.66666667
U08,sip_and_puff,50,5,3,1,2,0,51,4,40,2,45,3,31.83333333,44.8
U00,headarray,39,3,27,0,29,1,58,4,26,2,57,5,39.33333333,47.66666667
U00,headarray,33,3,27,1,29,0,46,5,23,2,31,4,31.5,35.06666667
U00,headarray,34,2,27,1,24,0,45,4,27,3,27,5,30.66666667,32.73333333
S06,joystick,14,5,2,2,5,1,1,4,12,3,1,0,5.833333333,7.933333333
S06,joystick,11,5,32,3,2,1,59,2,66,4,51,0,36.83333333,35.66666667
S06,joystick,11,5,4,4,29,0,9,1,5,2,11,3,11.5,8.2
U08,joystick,7,4,32,0,24,2,45,5,6,1,19,3,22.16666667,24.26666667
U08,joystick,9,3,32,1,35,2,51,5,16,0,22,4,27.5,31.46666667
U08,joystick,8,4,50,2,24,1,38,5,11,1,19,2,25,26.33333333
S08,headarray,57,5,,1,18,1,20,3,36,2,19,3,25,32.8
S08,headarray,67,4,19,1,30,1,60,2,59,4,56,3,48.5,56.06666667
S08,headarray,62,5,33,2,30,0,44,3,50,3,43,2,43.66666667,49.6
U08,headarray,10,5,32,0,29,1,45,4,66,2,22,3,34,30.46666667
U08,headarray,30,3,3,1,24,0,60,4,30,2,32,5,29.83333333,36.86666667
U08,headarray,32,4,11,2,53,0,52,5,40,3,39,1,37.83333333,37.93333333
S08,sip_and_puff,4,4,33,2,30,1,51,2,50,3,61,3,38.16666667,36.46666667
