id,interface,assistance,mental_rs,mental_ws,physical_rs,physical_ws,temporal_rs,temporal_ws,performance_rs,performance_ws,effort_rs,effort_ws,frustration_rs,frustration_ws,Raw Score,Weighted Score
U13,Head Array,A1,59,2,26,0,36,4,56,2,47,2,87,5,51.83333333,60.2
U13,Head Array,A2,54,1,15,0,71,4,80,3,32,2,90,5,57,72.8
U13,Head Array,A0,33,1,23,1,70,4,45,3,25,1,49,5,40.83333333,49.4
U12,Head Array,A0,100,5,19,1,52,3,34,2,84,4,61,0,58.33333333,71.93333333
U12,Head Array,A1,69,4,32,2,52,0,38,1,44,4,84,4,53.16666667,59.33333333
U12,Head Array,A2,46,5,21,0,90,1,24,3,78,2,84,4,57.16666667,58.93333333
S04,Sip N Puff,A0,75,4,25,1,45,3,,5,65,2,10,0,36.66666667,39.33333333
U01,Head Array,A1,34,4,6,0,42,4,36,4,56,1,47,2,36.83333333,39.86666667
U01,Head Array,A2,64,2,28,0,60,3,100,4,97,1,94,5,73.83333333,85
U01,Head Array,A0,32,4,31,0,20,2,23,5,35,3,18,1,26.5,27.06666667
U12,Sip N Puff,A0,75,3,70,3,62,5,22,0,77,1,99,3,67.5,74.6
U11,Head Array,A1,59,2,36,0,25,1,31,5,53,3,50,4,42.33333333,43.8
U11,Head Array,A0,59,2,28,0,31,2,41,5,61,3,23,3,40.5,42.46666667
U11,Head Array,A2,71,2,33,0,66,3,88,4,75,3,71,3,67.33333333,75.33333333
U12,Joystick,A2,54,4,4,0,72,3,84,2,27,1,85,5,54.33333333,70.13333333
U12,Joystick,A1,37,2,11,0,48,4,44,4,44,1,80,4,44,53.73333333
U12,Joystick,A0,12,2,6,0,11,3,3,4,10,5,9,1,8.5,8.533333333
U01,Sip N Puff,A0,53,2,74,4,35,3,53,1,61,5,36,0,52,57.66666667
U01,Joystick,A1,35,2,10,0,43,5,64,3,28,1,48,4,38,46.46666667
U01,Joystick,A2,48,4,24,0,57,3,35,2,50,1,71,5,47.5,55.86666667
U01,Joystick,A0,15,2,18,0,35,5,15,4,28,1,16,3,21.16666667,22.73333333
S05,Sip N Puff,A0,22,4,74,3,,2,,2,100,1,100,3,49.33333333,47.33333333
U11,Joystick,A0,28,1,27,1,43,3,20,4,54,5,24,1,32.66666667,37.2
U11,Joystick,A2,73,1,67,3,61,1,78,2,81,4,93,4,75.5,79.13333333
U11,Joystick,A1,21,1,19,2,17,3,17,5,18,4,20,0,18.66666667,17.8
S06,Head Array,A1,50,3,40,3,20,5,20,2,15,2,,0,24.16666667,29.33333333
S06,Head Array,A0,55,4,15,4,,4,25,1,10,2,,0,17.5,21.66666667
S06,Head Array,A2,50,5,10,2,20,3,35,0,15,4,20,1,25,27.33333333
S05,Joystick,A2,,3,,1,,2,,4,,4,,1,0,0
S05,Joystick,A0,,2,,2,,0,,3,,3,,5,0,0
S05,Joystick,A1,,3,,4,,1,,2,,2,,3,0,0
S05,Head Array,A0,,2,,2,,2,,5,,1,,3,0,0
S05,Head Array,A1,,4,,3,,1,,2,,3,,2,0,0
S05,Head Array,A2,,4,,2,,1,,3,,3,,2,0,0
S07,Sip N Puff,A0,50,3,75,1,,0,,3,75,5,50,3,41.66666667,50
S08,Joystick,A2,100,5,,0,20,2,50,2,30,2,70,4,45,65.33333333
S08,Joystick,A0,20,4,,0,,4,,3,30,2,20,2,11.66666667,12
S08,Joystick,A1,40,5,,0,,1,30,2,20,4,20,3,18.33333333,26.66666667
U08,Sip N Puff,A0,61,5,10,1,1,0,70,4,55,2,62,3,43.16666667,59.4
U00,Head Array,A2,50,3,4,0,5,1,79,4,37,2,76,5,41.83333333,61.66666667
U00,Head Array,A1,44,3,4,1,5,0,63,5,32,2,48,4,32.66666667,47.13333333
U00,Head Array,A0,45,2,4,1,4,0,61,4,38,3,42,5,32.33333333,44.13333333
S06,Joystick,A0,20,5,1,2,12,1,0,4,2,3,0,0,5.833333333,8
S06,Joystick,A1,18,5,5,3,1,1,8,2,9,4,7,0,8,10.53333333
S06,Joystick,A2,18,5,11,4,5,0,19,1,13,2,20,3,14.33333333,15.93333333
U08,Joystick,A0,14,4,5,0,4,2,61,5,14,1,30,3,21.33333333,31.53333333
U08,Joystick,A2,16,3,5,1,6,2,70,5,25,0,36,4,26.33333333,37.26666667
U08,Joystick,A1,15,4,8,2,4,1,52,5,19,1,30,2,21.33333333,27.93333333
S08,Head Array,A0,70,5,,1,30,1,30,3,50,2,30,3,35,44
S08,Head Array,A2,80,4,30,1,50,1,80,2,80,4,75,3,65.83333333,73.66666667
S08,Head Array,A1,75,5,50,2,50,0,60,3,70,3,60,2,60.83333333,65.66666667
U08,Head Array,A2,17,5,5,0,5,1,61,4,9,2,36,3,22.16666667,30.66666667
U08,Head Array,A0,39,3,10,1,4,0,80,4,41,2,49,5,37.16666667,51.6
U08,Head Array,A1,43,4,21,2,9,0,71,5,55,3,56,1,42.5,52.66666667
S08,Sip N Puff,A0,100,4,50,2,50,1,70,2,70,3,80,3,70,76
S06,Sip N Puff,A0,34,5,4,3,2,0,5,1,4,4,2,2,8.5,13.8
